psu,strata_id,Location.name.in.English,Location.name.in.Arabic,Latitude,Longitude,COD_Subdistrict,COD_District,COD_Governorate,SumDist,proba,num_households,survey_buffer
34012,Al-Baaj,Alqadisya,حي القادسيه,36.038939,41.714346,Markaz Al-Baaj,Al-Baaj,Ninewa,1188,0.067340067,80,12
34008,Al-Baaj,Al-Risalah,حي الرساله,36.044509,41.714508,Markaz Al-Baaj,Al-Baaj,Ninewa,1188,0.185185185,220,18
18349,Al-Baaj,Al-Yarmuk,حي اليرموك,36.044635,41.720289,Markaz Al-Baaj,Al-Baaj,Ninewa,1188,0.106060606,126,6
34011,Al-Baaj,Al-Thawra,حي الثوره,36.038552,41.711969,Markaz Al-Baaj,Al-Baaj,Ninewa,1188,0.157407407,187,36
25816,Al-Hamdaniya,Bishryan,بشريان,36.3098007,43.67426823,Markaz Al-Hamdaniya,Al-Hamdaniya,Ninewa,4340,0.006221198,27,6
24581,Al-Hamdaniya,Kalak,كلكك,36.27122321,43.63670332,Markaz Al-Hamdaniya,Al-Hamdaniya,Ninewa,4340,0.132258065,574,36
33475,Al-Hamdaniya,Zangal,زنكل,36.23354303,43.60799284,Markaz Al-Hamdaniya,Al-Hamdaniya,Ninewa,4340,0.011059908,48,18
12821,Al-Hamdaniya,Khabat,خبات,36.2768827,43.6727879,Markaz Al-Hamdaniya,Al-Hamdaniya,Ninewa,4340,0.8359447,3628,312
17903,Al-Hamdaniya,Al-Salamiyah Village,قرية السلامية,36.14467202,43.31096659,Namroud,Al-Hamdaniya,Ninewa,4340,0.005760369,25,6
27271,Al-Hatra,Tal abta,تل عبطة,35.94612983,42.5718261,Markaz Hatra,Al-Hatra,Ninewa,211,0.744075829,157,33
33114,Al-Hatra,Al-Amilah Village,قرية الاميلح,35.78730103,42.99964293,Markaz Hatra,Al-Hatra,Ninewa,211,0.061611374,13,6
33115,Al-Hatra,Zaaziaa Village,قرية زعيزيعة,35.81036035,43.02302444,Markaz Hatra,Al-Hatra,Ninewa,211,0.028436019,6,2
33164,Al-Hatra,Rmothaniat Al-rdin Village,قرية رمضانيات الردن,35.61702195,42.9889707,Markaz Hatra,Al-Hatra,Ninewa,211,0.028436019,6,4
17126,Al-Hatra,Markaz AL-Hatra,مركز الحضر,35.57722514,42.73185209,Markaz Hatra,Al-Hatra,Ninewa,211,0.137440758,29,14
24549,Al-Mosul,Al Harmaat,الهرمات,36.3624,43.0716,Al-Muhamadath,Al-Mosul,Ninewa,16145,0.045401053,733,6
18314,Al-Mosul,Hay Al Intisar,الانتصار,36.32160352,43.2184224,Al-Muhamadath,Al-Mosul,Ninewa,16145,0.042366058,684,12
23933,Al-Mosul,Hay Al Samah,حي السماح,36.36599222,43.2208356,Al-Muhamadath,Al-Mosul,Ninewa,16145,0.031279034,505,12
23875,Al-Mosul,Al-Quds,القدس,36.34899562,43.22555348,Al-Muhamadath,Al-Mosul,Ninewa,16145,0.036419944,588,6
21332,Al-Mosul,HAY-FALISTINE,حي فلسطين,36.30750923,43.1910329,Al-Muhamadath,Al-Mosul,Ninewa,16145,0.00799009,129,6
25066,Al-Mosul,Al Tanak,التنك,36.341839,43.052996,Al-Muhamadath,Al-Mosul,Ninewa,16145,0.017652524,285,6
18339,Al-Mosul,Al-Karamah,الكرامة,36.34434032,43.21393334,Al-Muhamadath,Al-Mosul,Ninewa,16145,0.079715082,1287,12
18357,Al-Mosul,Al-sukar,حي السكر,36.38996165,43.16955564,Al-Muhamadath,Al-Mosul,Ninewa,16145,0.006069991,98,6
18346,Al-Mosul,Al-Maamon,المامون,36.30882013,43.10854328,Al-Muhamadath,Al-Mosul,Ninewa,16145,0.026633633,430,6
21336,Al-Mosul,HAY-SUMMER,حي سومر,36.29892135,43.19245944,Al-Muhamadath,Al-Mosul,Ninewa,16145,0.019882317,321,6
18368,Al-Mosul,Wadi Hajar,وادي حجر,36.32112548,43.12549664,Al-Muhamadath,Al-Mosul,Ninewa,16145,0.012945184,209,6
18313,Al-Mosul,Hay Al Islah Al Zirai,حي الاصلاح الزراعي,36.35024315,43.08515874,Al-Muhamadath,Al-Mosul,Ninewa,16145,0.016042118,259,6
18370,Al-Mosul,Hay Al Tammem,التاميم,36.3555135,43.19195727,Al-Muhamadath,Al-Mosul,Ninewa,16145,0.021554661,348,6
17128,Al-Mosul,Hamam Alaleel Center,مركز حمام العليل,36.16758811,43.25494788,Hammam Al-Alil,Al-Mosul,Ninewa,16145,0.010529576,170,6
17338,Al-Shikhan,Atrush,أتروش,36.8377966,43.33373387,Atreesh,Al-Shikhan,Ninewa,3633,0.019267823,70,6
25945,Al-Shikhan,Esiyan Village,قرية ايسيان,36.7148436,43.29448621,Markaz Al-Shikhan,Al-Shikhan,Ninewa,3633,0.030828516,112,6
17752,Al-Shikhan,Baadre,باعدري,36.72342984,43.25205126,Markaz Al-Shikhan,Al-Shikhan,Ninewa,3633,0.184971098,672,24
17333,Al-Shikhan,Shekhan,شيخان,36.68585032,43.34714326,Markaz Al-Shikhan,Al-Shikhan,Ninewa,3633,0.419488026,1524,60
17535,Al-Shikhan,Mahad,مهد,36.64666962,43.41472644,Markaz Al-Shikhan,Al-Shikhan,Ninewa,3633,0.066061107,240,12
25278,Al-Shikhan,Kabara,قرية كابارة,36.69783949,43.22252412,Markaz Al-Shikhan,Al-Shikhan,Ninewa,3633,0.002202037,8,6
18199,Al-Shikhan,Qasrok,قسروك,36.69973886,43.59700937,Qasruk,Al-Shikhan,Ninewa,3633,0.099642169,362,36
21008,Al-Shikhan,Chira,جرة,36.64066507,43.52486353,Qasruk,Al-Shikhan,Ninewa,3633,0.050371594,183,6
8783,Aqra,Bardarash,بردرش,36.50505246,43.59559858,Bardarash,Aqra,Ninewa,4136,0.235009671,972,54
8776,Aqra,Daratu,دارتو,36.47780181,43.72601916,Bardarash,Aqra,Ninewa,4136,0.025386847,105,18
24580,Aqra,Roviya,روفيا,36.61804222,43.70120265,Bardarash,Aqra,Ninewa,4136,0.175290135,725,36
16953,Aqra,Dinarta,دينارته,36.79299167,43.97959825,Dinarta,Aqra,Ninewa,4136,0.014748549,61,6
17802,Aqra,Grdasin,كردسين,36.65457561,43.80706832,Kurdsein,Aqra,Ninewa,4136,0.070841393,293,24
17734,Aqra,Akre,عقرة,36.73616411,43.87036764,Kurdsein,Aqra,Ninewa,4136,0.414168279,1713,84
27361,Sinjar,Wary Bahdo,واري بهدو,36.38116896,41.79193799,Al-Shamal,Sinjar,Ninewa,4273,0.026445121,113,6
27366,Sinjar,Balif,بليف,36.4286986,41.69891914,Al-Shamal,Sinjar,Ninewa,4273,0.02948748,126,6
17928,Sinjar,Sinuni center,مركز سنوني,36.46593984,41.71338533,Al-Shamal,Sinjar,Ninewa,4273,0.212497075,908,18
27283,Sinjar,Dokri,دوكري,36.47017334,41.73811846,Al-Shamal,Sinjar,Ninewa,4273,0.007020828,30,6
27285,Sinjar,Borek,بورك,36.49436739,41.86820613,Al-Shamal,Sinjar,Ninewa,4273,0.037444418,160,6
17845,Sinjar,Khana sor,خانصور,36.46474075,41.62757861,Al-Shamal,Sinjar,Ninewa,4273,0.117013808,500,12
27362,Sinjar,Sardashty,سردشتي,36.37382358,41.74922358,Al-Shamal,Sinjar,Ninewa,4273,0.062485373,267,18
23274,Sinjar,Hay Alqadseya,حي القادسية,36.32342149,41.87365479,Markaz Sinjar,Sinjar,Ninewa,4273,0.033934004,145,12
22490,Sinjar,Hay Al Naser,حي النصر,36.32051324,41.84688259,Markaz Sinjar,Sinjar,Ninewa,4273,0.052656213,225,6
