Location.ID,District,popgroup,Stratum,population
25394,Al-Adhamiya,idp_out_camp,Al-Adhamiya,11
24176,Al-Adhamiya,idp_out_camp,Al-Adhamiya,30
25397,Al-Adhamiya,idp_out_camp,Al-Adhamiya,9
22777,Al-Adhamiya,idp_out_camp,Al-Adhamiya,20
22538,Al-Adhamiya,idp_out_camp,Al-Adhamiya,18
23728,Al-Adhamiya,idp_out_camp,Al-Adhamiya,11
7730,Al-Adhamiya,idp_out_camp,Al-Adhamiya,53
23999,Al-Adhamiya,idp_out_camp,Al-Adhamiya,26
24003,Al-Adhamiya,idp_out_camp,Al-Adhamiya,30
7717,Al-Adhamiya,idp_out_camp,Al-Adhamiya,13
23646,Al-Adhamiya,idp_out_camp,Al-Adhamiya,45
24002,Al-Adhamiya,idp_out_camp,Al-Adhamiya,24
24004,Al-Adhamiya,idp_out_camp,Al-Adhamiya,11
23867,Al-Kadhmiyah,idp_out_camp,Al-Kadhmiyah,17
31711,Al-Kadhmiyah,idp_out_camp,Al-Kadhmiyah,9
25126,Al-Kadhmiyah,idp_out_camp,Al-Kadhmiyah,25
21173,Al-Kadhmiyah,idp_out_camp,Al-Kadhmiyah,62
31714,Al-Kadhmiyah,idp_out_camp,Al-Kadhmiyah,62
7658,Al-Kadhmiyah,idp_out_camp,Al-Kadhmiyah,44
27247,Al-Kadhmiyah,idp_out_camp,Al-Kadhmiyah,138
25185,Al-Kadhmiyah,idp_out_camp,Al-Kadhmiyah,7
27413,Al-Kadhmiyah,idp_out_camp,Al-Kadhmiyah,38
25164,Al-Kadhmiyah,idp_out_camp,Al-Kadhmiyah,9
24063,Al-Kadhmiyah,idp_out_camp,Al-Kadhmiyah,19
21685,Al-Kadhmiyah,idp_out_camp,Al-Kadhmiyah,21
25424,Al-Kadhmiyah,idp_out_camp,Al-Kadhmiyah,42
25022,Al-Kadhmiyah,idp_out_camp,Al-Kadhmiyah,24
27312,Al-Kadhmiyah,idp_out_camp,Al-Kadhmiyah,6
24073,Al-Karkh,idp_out_camp,Al-Karkh,30
7640,Al-Karkh,idp_out_camp,Al-Karkh,25
23984,Al-Karkh,idp_out_camp,Al-Karkh,98
21460,Al-Karkh,idp_out_camp,Al-Karkh,24
24065,Al-Karkh,idp_out_camp,Al-Karkh,12
23727,Al-Karkh,idp_out_camp,Al-Karkh,12
21450,Al-Karkh,idp_out_camp,Al-Karkh,19
21448,Al-Karkh,idp_out_camp,Al-Karkh,14
25206,Al-Karkh,idp_out_camp,Al-Karkh,30
26041,Al-Karkh,idp_out_camp,Al-Karkh,20
27409,Al-Karkh,idp_out_camp,Al-Karkh,13
27191,Al-Karkh,idp_out_camp,Al-Karkh,14
25221,Al-Karkh,idp_out_camp,Al-Karkh,32
26100,Al-Karkh,idp_out_camp,Al-Karkh,12
27289,Al-Karkh,idp_out_camp,Al-Karkh,9
25150,Al-Mahmoudiya,idp_out_camp,Al-Mahmoudiya,157
23618,Al-Mahmoudiya,idp_out_camp,Al-Mahmoudiya,83
25149,Al-Mahmoudiya,idp_out_camp,Al-Mahmoudiya,89
7733,Al-Mahmoudiya,idp_out_camp,Al-Mahmoudiya,60
25152,Al-Mahmoudiya,idp_out_camp,Al-Mahmoudiya,179
7583,Al-Mahmoudiya,idp_out_camp,Al-Mahmoudiya,21
7587,Al-Mahmoudiya,idp_out_camp,Al-Mahmoudiya,60
29523,Al-Mahmoudiya,idp_out_camp,Al-Mahmoudiya,15
27252,Al-Mahmoudiya,idp_out_camp,Al-Mahmoudiya,9
24194,Al-Khalis,idp_out_camp,Al-Khalis,25
25036,Al-Khalis,idp_out_camp,Al-Khalis,38
10445,Al-Khalis,idp_out_camp,Al-Khalis,109
25032,Al-Khalis,idp_out_camp,Al-Khalis,13
25027,Al-Khalis,idp_out_camp,Al-Khalis,12
25815,Al-Khalis,idp_out_camp,Al-Khalis,20
22041,Al-Khalis,idp_out_camp,Al-Khalis,40
11195,Al-Khalis,idp_out_camp,Al-Khalis,59
25814,Al-Khalis,idp_out_camp,Al-Khalis,20
11206,Al-Khalis,idp_out_camp,Al-Khalis,7
11425,Al-Khalis,idp_out_camp,Al-Khalis,60
11463,Baquba,idp_out_camp,Baquba,47
11411,Baquba,idp_out_camp,Baquba,38
23740,Baquba,idp_out_camp,Baquba,31
24915,Baquba,idp_out_camp,Baquba,420
24805,Baquba,idp_out_camp,Baquba,693
11189,Baquba,idp_out_camp,Baquba,256
24914,Baquba,idp_out_camp,Baquba,31
11177,Baquba,idp_out_camp,Baquba,85
24917,Baquba,idp_out_camp,Baquba,13
23694,Baquba,idp_out_camp,Baquba,67
11178,Baquba,idp_out_camp,Baquba,365
11250,Baquba,idp_out_camp,Baquba,30
25042,Baquba,idp_out_camp,Baquba,15
25257,Khanaqin,idp_out_camp,Khanaqin,384
24312,Khanaqin,idp_out_camp,Khanaqin,159
24403,Khanaqin,idp_out_camp,Khanaqin,7
24351,Khanaqin,idp_out_camp,Khanaqin,41
25247,Khanaqin,idp_out_camp,Khanaqin,35
10666,Khanaqin,idp_out_camp,Khanaqin,30
24393,Khanaqin,idp_out_camp,Khanaqin,42
11047,Khanaqin,idp_out_camp,Khanaqin,210
24354,Khanaqin,idp_out_camp,Khanaqin,50
24405,Khanaqin,idp_out_camp,Khanaqin,8
10403,Khanaqin,idp_out_camp,Khanaqin,130
3903,Kifri,idp_out_camp,Kifri,281
