num,psu,n,new_ID,name,district,governorate,label
91,79,1,cluster_location_id_91,Hay Al-Subhani,Haditha,Al-Anbar,91_Hay Al-Subhani
92,33824,1,cluster_location_id_92,Hay AL-zihoor,Heet,Al-Anbar,92_Hay AL-zihoor
93,33822,1,cluster_location_id_93,Hay- Amina,Heet,Al-Anbar,93_Hay- Amina
94,23811,1,cluster_location_id_94,Hay Barwanah Al Gharbiyah,Haditha,Al-Anbar,94_Hay Barwanah Al Gharbiyah
95,23812,1,cluster_location_id_95,Hay Ibn Bittar,Haditha,Al-Anbar,95_Hay Ibn Bittar
96,33342,1,cluster_location_id_96,Hay Jbeal,Al-Falluja,Al-Anbar,96_Hay Jbeal
97,23820,1,cluster_location_id_97,Hay K 28,Haditha,Al-Anbar,97_Hay K 28
98,23859,1,cluster_location_id_98,Hay Raua Al-Jadida,Ana,Al-Anbar,98_Hay Raua Al-Jadida
99,113,1,cluster_location_id_99,Husaibah Al-Sharqiah,Al-Ramadi,Al-Anbar,99_Husaibah Al-Sharqiah
100,33954,1,cluster_location_id_100,jabil,Heet,Al-Anbar,100_jabil
101,41,1,cluster_location_id_101,Jubbah,Heet,Al-Anbar,101_Jubbah
102,21473,1,cluster_location_id_102,kibae,Heet,Al-Anbar,102_kibae
103,182,1,cluster_location_id_103,Qadisiya-1,Al-Ramadi,Al-Anbar,103_Qadisiya-1
104,66,1,cluster_location_id_104,Sadah,Al-Kaim,Al-Anbar,104_Sadah
105,137,1,cluster_location_id_105,Saweeb,Heet,Al-Anbar,105_Saweeb
106,33175,1,cluster_location_id_106,Tiwaan,Al-Kaim,Al-Anbar,106_Tiwaan
107,156,1,cluster_location_id_107,Wazeeriya,Al-Kaim,Al-Anbar,107_Wazeeriya
108,109,1,cluster_location_id_108,Yarmouk,Ana,Al-Anbar,108_Yarmouk
109,29475,1,cluster_location_id_109,Zankura,Al-Ramadi,Al-Anbar,109_Zankura
110,33953,1,cluster_location_id_110,zawiat alwustaa,Heet,Al-Anbar,110_zawiat alwustaa
111,23848,1,cluster_location_id_111,Zoyah Al-gharbiyah,Heet,Al-Anbar,111_Zoyah Al-gharbiyah
112,898,1,cluster_location_id_112,Al Khaleej1,Al-Basrah,Al-Basrah,112_Al Khaleej1
113,1308,1,cluster_location_id_113,Al-Baker & Al-Ahrar,Al-Basrah,Al-Basrah,113_Al-Baker & Al-Ahrar
114,847,1,cluster_location_id_114,Al-meshraq al-qadeem,Al-Basrah,Al-Basrah,114_Al-meshraq al-qadeem
115,857,1,cluster_location_id_115,As-safat-Al Qadima,Al-Basrah,Al-Basrah,115_As-safat-Al Qadima
116,907,1,cluster_location_id_116,Braiha,Al-Basrah,Al-Basrah,116_Braiha
117,24182,1,cluster_location_id_117,Casino Lebnan,Al-Basrah,Al-Basrah,117_Casino Lebnan
118,1295,1,cluster_location_id_118,Door Al Dubbat,Al-Basrah,Al-Basrah,118_Door Al Dubbat
119,24126,1,cluster_location_id_119,Hay Al Jamiah,Al-Basrah,Al-Basrah,119_Hay Al Jamiah
120,893,1,cluster_location_id_120,Kut al-hejaj,Al-Basrah,Al-Basrah,120_Kut al-hejaj
121,21097,1,cluster_location_id_121,Manawi Lajim Quarter,Al-Basrah,Al-Basrah,121_Manawi Lajim Quarter
122,891,1,cluster_location_id_122,Manawi pasha,Al-Basrah,Al-Basrah,122_Manawi pasha
123,20298,1,cluster_location_id_123,Al Barakiya,Al-Kufa,Al-Najaf,123_Al Barakiya
124,20340,1,cluster_location_id_124,Al Hureya,Al-Kufa,Al-Najaf,124_Al Hureya
125,20338,1,cluster_location_id_125,AL JEDAIDA,Al-Najaf,Al-Najaf,125_AL JEDAIDA
126,20046,1,cluster_location_id_126,Al Kreishat 2,Al-Kufa,Al-Najaf,126_Al Kreishat 2
127,29598,1,cluster_location_id_127,Al Salam Complex,Al-Najaf,Al-Najaf,127_Al Salam Complex
128,26015,1,cluster_location_id_128,Al-Ameriya,Al-Najaf,Al-Najaf,128_Al-Ameriya
129,20287,1,cluster_location_id_129,Al-Ghadeer Village complex,Al-Najaf,Al-Najaf,129_Al-Ghadeer Village complex
130,20341,1,cluster_location_id_130,Al-Qasim,Al-Najaf,Al-Najaf,130_Al-Qasim
131,20304,1,cluster_location_id_131,AL-RADHAWIYA,Al-Kufa,Al-Najaf,131_AL-RADHAWIYA
132,29658,1,cluster_location_id_132,Al-Shaheed Al-Sadar-Shareet,Al-Najaf,Al-Najaf,132_Al-Shaheed Al-Sadar-Shareet
133,24311,1,cluster_location_id_133,Alwat Al Fahal,Al-Kufa,Al-Najaf,133_Alwat Al Fahal
134,25431,1,cluster_location_id_134,Hay Al Ameer,Al-Najaf,Al-Najaf,134_Hay Al Ameer
135,34007,1,cluster_location_id_135,Hay AL Karrar,Al-Najaf,Al-Najaf,135_Hay AL Karrar
136,20122,1,cluster_location_id_136,Hay missan 230,Al-Najaf,Al-Najaf,136_Hay missan 230
137,29621,1,cluster_location_id_137,Mazara Al-Hawli,Al-Najaf,Al-Najaf,137_Mazara Al-Hawli
138,25890,1,cluster_location_id_138,Sader 3,Al-Kufa,Al-Najaf,138_Sader 3
139,2943,1,cluster_location_id_139,Al hamad village,Al-Diwaniya,Al-Qadissiya,139_Al hamad village
140,22326,1,cluster_location_id_140,Al Mojamaa Al Sakani,Al-Diwaniya,Al-Qadissiya,140_Al Mojamaa Al Sakani
141,24436,1,cluster_location_id_141,Albo Hasan village,Al-Diwaniya,Al-Qadissiya,141_Albo Hasan village
142,25509,1,cluster_location_id_142,Al-Taamem-2,Al-Diwaniya,Al-Qadissiya,142_Al-Taamem-2
143,23681,1,cluster_location_id_143,Hay Al Furat-2,Al-Diwaniya,Al-Qadissiya,143_Hay Al Furat-2
144,22815,1,cluster_location_id_144,Hay Al Jumhori Al Sharqi,Al-Diwaniya,Al-Qadissiya,144_Hay Al Jumhori Al Sharqi
145,24903,1,cluster_location_id_145,Hay Al Sadir 2,Al-Diwaniya,Al-Qadissiya,145_Hay Al Sadir 2
146,25568,1,cluster_location_id_146,Hay Al-Amin 2,Al-Diwaniya,Al-Qadissiya,146_Hay Al-Amin 2
147,23715,1,cluster_location_id_147,Hay Al-Hadarah,Al-Diwaniya,Al-Qadissiya,147_Hay Al-Hadarah
148,25070,1,cluster_location_id_148,Hay Al-Hussain,Al-Diwaniya,Al-Qadissiya,148_Hay Al-Hussain
149,22452,1,cluster_location_id_149,Qaryat Al Ensaf,Al-Diwaniya,Al-Qadissiya,149_Qaryat Al Ensaf
150,5122,1,cluster_location_id_150,Arbat-Kharajian,Al-Sulaymaniyah,Al-Sulaymaniyah,150_Arbat-Kharajian
151,22460,1,cluster_location_id_151,Ardalan,Halabcha,Al-Sulaymaniyah,151_Ardalan
152,21976,1,cluster_location_id_152,Ashti,Chamchamal,Al-Sulaymaniyah,152_Ashti
153,24688,1,cluster_location_id_153,Asuda,Chamchamal,Al-Sulaymaniyah,153_Asuda
154,33380,1,cluster_location_id_154,Awa Spi,Chamchamal,Al-Sulaymaniyah,154_Awa Spi
155,5737,1,cluster_location_id_155,Awbara,Al-Sulaymaniyah,Al-Sulaymaniyah,155_Awbara
156,21852,1,cluster_location_id_156,Awbarik,Kalar,Al-Sulaymaniyah,156_Awbarik
157,31932,1,cluster_location_id_157,Azadi,Kalar,Al-Sulaymaniyah,157_Azadi
158,31869,1,cluster_location_id_158,Azadi 2,Rania,Al-Sulaymaniyah,158_Azadi 2
159,23924,1,cluster_location_id_159,Banwan,Dokan,Al-Sulaymaniyah,159_Banwan
160,3939,1,cluster_location_id_160,Barda Sur,Kalar,Al-Sulaymaniyah,160_Barda Sur
161,5744,1,cluster_location_id_161,Bardakar,Al-Sulaymaniyah,Al-Sulaymaniyah,161_Bardakar
162,24096,1,cluster_location_id_162,Barkew,Halabcha,Al-Sulaymaniyah,162_Barkew
163,5808,1,cluster_location_id_163,Bazyan-shwankara,Al-Sulaymaniyah,Al-Sulaymaniyah,163_Bazyan-shwankara
164,24253,1,cluster_location_id_164,Campe khwarw,Derbendikhan,Al-Sulaymaniyah,164_Campe khwarw
165,24894,1,cluster_location_id_165,Chamchamal-Raparin,Chamchamal,Al-Sulaymaniyah,165_Chamchamal-Raparin
166,6159,1,cluster_location_id_166,Chamchamal-Rizgari,Chamchamal,Al-Sulaymaniyah,166_Chamchamal-Rizgari
167,23721,1,cluster_location_id_167,Chawa spy,Dokan,Al-Sulaymaniyah,167_Chawa spy
168,33348,1,cluster_location_id_168,Chwar chra New,Al-Sulaymaniyah,Al-Sulaymaniyah,168_Chwar chra New
169,23926,1,cluster_location_id_169,Dargazen,Al-Sulaymaniyah,Al-Sulaymaniyah,169_Dargazen
170,25757,1,cluster_location_id_170,Darwazay Shar,Halabcha,Al-Sulaymaniyah,170_Darwazay Shar
171,21036,1,cluster_location_id_171,Farmanbaran,Al-Sulaymaniyah,Al-Sulaymaniyah,171_Farmanbaran
172,21960,1,cluster_location_id_172,Farmanbaran,Halabcha,Al-Sulaymaniyah,172_Farmanbaran
173,21861,1,cluster_location_id_173,Garmyan,Kalar,Al-Sulaymaniyah,173_Garmyan
174,23767,1,cluster_location_id_174,Goran,Kalar,Al-Sulaymaniyah,174_Goran
175,5995,1,cluster_location_id_175,Grda Gozina,Kalar,Al-Sulaymaniyah,175_Grda Gozina
176,25647,1,cluster_location_id_176,Grda naze village,Halabcha,Al-Sulaymaniyah,176_Grda naze village
177,21862,1,cluster_location_id_177,Gulan,Halabcha,Al-Sulaymaniyah,177_Gulan
178,31982,1,cluster_location_id_178,Handren 109,Al-Sulaymaniyah,Al-Sulaymaniyah,178_Handren 109
179,3461,1,cluster_location_id_179,hashazini,Chamchamal,Al-Sulaymaniyah,179_hashazini
180,22920,1,cluster_location_id_180,Hassar,Halabcha,Al-Sulaymaniyah,180_Hassar
181,6301,1,cluster_location_id_181,Hawara barza,Derbendikhan,Al-Sulaymaniyah,181_Hawara barza
182,6286,1,cluster_location_id_182,Kalar Kon,Kalar,Al-Sulaymaniyah,182_Kalar Kon
183,21961,1,cluster_location_id_183,Kani ishqan,Halabcha,Al-Sulaymaniyah,183_Kani ishqan
184,24251,1,cluster_location_id_184,Kanito,Derbendikhan,Al-Sulaymaniyah,184_Kanito
185,25522,1,cluster_location_id_185,Kewa Rash,Rania,Al-Sulaymaniyah,185_Kewa Rash
186,29517,1,cluster_location_id_186,Khelan,Derbendikhan,Al-Sulaymaniyah,186_Khelan
187,31988,1,cluster_location_id_187,Khwar kurdsat 134,Al-Sulaymaniyah,Al-Sulaymaniyah,187_Khwar kurdsat 134
188,25298,1,cluster_location_id_188,Koling city,Rania,Al-Sulaymaniyah,188_Koling city
189,5568,1,cluster_location_id_189,kurdistan,Rania,Al-Sulaymaniyah,189_kurdistan
190,21863,1,cluster_location_id_190,Mamostaian,Halabcha,Al-Sulaymaniyah,190_Mamostaian
191,22996,1,cluster_location_id_191,Mamostayan,Derbendikhan,Al-Sulaymaniyah,191_Mamostayan
192,32001,1,cluster_location_id_192,Mamostayan,Kalar,Al-Sulaymaniyah,192_Mamostayan
193,24814,1,cluster_location_id_193,Mamostayan,Rania,Al-Sulaymaniyah,193_Mamostayan
194,21962,1,cluster_location_id_194,Marzboto,Halabcha,Al-Sulaymaniyah,194_Marzboto
195,5238,1,cluster_location_id_195,Mergapan,Dokan,Al-Sulaymaniyah,195_Mergapan
196,33357,1,cluster_location_id_196,Mushirawa 406 & 206,Al-Sulaymaniyah,Al-Sulaymaniyah,196_Mushirawa 406 & 206
197,24101,1,cluster_location_id_197,Nawroz,Rania,Al-Sulaymaniyah,197_Nawroz
198,4933,1,cluster_location_id_198,Piryadi,Chamchamal,Al-Sulaymaniyah,198_Piryadi
199,23333,1,cluster_location_id_199,Pishowa,Dokan,Al-Sulaymaniyah,199_Pishowa
200,21717,1,cluster_location_id_200,Qadir Kir Mikan,Chamchamal,Al-Sulaymaniyah,200_Qadir Kir Mikan
201,25296,1,cluster_location_id_201,Qandil,Rania,Al-Sulaymaniyah,201_Qandil
202,24250,1,cluster_location_id_202,Qarahanjiriakan,Chamchamal,Al-Sulaymaniyah,202_Qarahanjiriakan
203,31862,1,cluster_location_id_203,Raparine,Halabcha,Al-Sulaymaniyah,203_Raparine
204,25293,1,cluster_location_id_204,Raparine,Rania,Al-Sulaymaniyah,204_Raparine
