list_name,name,label::English,label::Arabic,filter,,,,,,,,,,,,,,,,,,,,,
district_mcna,balad,Balad,بلد,salah.al.din,,,,,,,,,,,,,,,,,,,,,
district_mcna,beygee,Beygee,بيجي,salah.al.din,,,,,,,,,,,,,,,,,,,,,
district_mcna,samarra,Samarra,سامراء,salah.al.din,,,,,,,,,,,,,,,,,,,,,
district_mcna,tikrit,Tikrit,تكريت,salah.al.din,,,,,,,,,,,,,,,,,,,,,
district_mcna,tooz.khurmato,Tooz Khurmato,طوزخورماتو,salah.al.din,,,,,,,,,,,,,,,,,,,,,
district_mcna,al.nasiriya,Al-Nasiriya,الناصرية,thi.qar,,,,,,,,,,,,,,,,,,,,,
district_mcna,al.kut,Al-Kut,الكوت,wassit,,,,,,,,,,,,,,,,,,,,,
district_origin,al.falluja,Al-Falluja,الفلوجة,al.anbar,,,,,,,,,,,,,,,,,,,,,
district_origin,al.kaim,Al-Kaim,القائم,al.anbar,,,,,,,,,,,,,,,,,,,,,
district_origin,al.ramadi,Al-Ramadi,الرمادي,al.anbar,,,,,,,,,,,,,,,,,,,,,
district_origin,al.rutba,Al-Rutba,الرطبة,al.anbar,,,,,,,,,,,,,,,,,,,,,
district_origin,ana,Ana,عانه,al.anbar,,,,,,,,,,,,,,,,,,,,,
district_origin,haditha,Haditha,حديثة,al.anbar,,,,,,,,,,,,,,,,,,,,,
district_origin,heet,Heet,هيت,al.anbar,,,,,,,,,,,,,,,,,,,,,
district_origin,abu.al.khaseeb,Abu Al-Khaseeb,ابو الخصيب,al.basrah,,,,,,,,,,,,,,,,,,,,,
district_origin,al.basrah,Al-Basrah,البصرة,al.basrah,,,,,,,,,,,,,,,,,,,,,
district_origin,al.faw,Al-Faw,الفاو,al.basrah,,,,,,,,,,,,,,,,,,,,,
district_origin,al.midaina,Al-Midaina,المدينة,al.basrah,,,,,,,,,,,,,,,,,,,,,
district_origin,al.qurna,Al-Qurna,القرنة,al.basrah,,,,,,,,,,,,,,,,,,,,,
district_origin,al.zubair,Al-Zubair,الزبير,al.basrah,,,,,,,,,,,,,,,,,,,,,
district_origin,shat.al.arab,Shat Al-Arab,شط العرب,al.basrah,,,,,,,,,,,,,,,,,,,,,
district_origin,al.khidhir,Al-Khidhir,الخضير,al.muthanna,,,,,,,,,,,,,,,,,,,,,
district_origin,al.rumaitha,Al-Rumaitha,الرميثة,al.muthanna,,,,,,,,,,,,,,,,,,,,,
district_origin,al.salman,Al-Salman,السلمان,al.muthanna,,,,,,,,,,,,,,,,,,,,,
district_origin,al.samawa,Al-Samawa,السماوه,al.muthanna,,,,,,,,,,,,,,,,,,,,,
district_origin,al.kufa,Al-Kufa,الكوفة,al.najaf,,,,,,,,,,,,,,,,,,,,,
district_origin,al.manathera,Al-Manathera,المناذرة,al.najaf,,,,,,,,,,,,,,,,,,,,,
district_origin,al.najaf,Al-Najaf,النجف,al.najaf,,,,,,,,,,,,,,,,,,,,,
