"Governorate","district","psu","Location.Name","popgroup","pop","stratum"
"Al-Sulaymaniyah","rania",25522,"Kewa Rash","idp",13,"raniaidp"
"Al-Sulaymaniyah","rania",24814,"Mamostayan","idp",9,"raniaidp"
"Al-Sulaymaniyah","rania",24101,"Nawroz","idp",45,"raniaidp"
"Babil","al.mussyab",24984,"Hay Al-Rafedain","idp",129,"al.mussyabidp"
"Babil","al.mussyab",24985,"Hay Alaskarey","idp",88,"al.mussyabidp"
"Babil","al.mussyab",25613,"Al-Iskandaria-Hay Al-Muthana","idp",22,"al.mussyabidp"
"Babil","al.mussyab",24296,"Al Iskandariyah Area-Mowelha","idp",34,"al.mussyabidp"
"Babil","al.mussyab",24707,"Hay Al Ataba","idp",237,"al.mussyabidp"
"Babil","al.mussyab",7126,"Al Hamiyah-Al Mutaqedin 1","idp",110,"al.mussyabidp"
"Babil","al.mussyab",24165,"Al Hamiyah-Oayef village","idp",94,"al.mussyabidp"
"Babil","al.mussyab",26119,"Hay Al Ghadeer 3","idp",47,"al.mussyabidp"
"Babil","al.mussyab",24171,"Hay Al Moatnen 3","idp",145,"al.mussyabidp"
"Babil","al.mussyab",29582,"Hay Al Moatnen 1","idp",92,"al.mussyabidp"
"Babil","al.mussyab",7220,"Albo Hamdan","idp",33,"al.mussyabidp"
"Babil","al.mussyab",26125,"Hay Al Ghadeer 1","idp",65,"al.mussyabidp"
"Baghdad","al.adhamiya",27255,"Hay Al Rabee-334","idp",8,"al.adhamiyaidp"
"Baghdad","al.adhamiya",25394,"Bob Al Sham-361","idp",11,"al.adhamiyaidp"
"Baghdad","al.adhamiya",24176,"Hay Al Rabee-332","idp",30,"al.adhamiyaidp"
"Baghdad","al.adhamiya",25397,"Bob Al Sham-365","idp",9,"al.adhamiyaidp"
"Baghdad","al.adhamiya",22777,"Hay Al Rabee-340","idp",20,"al.adhamiyaidp"
"Baghdad","al.adhamiya",22538,"Tunis-330","idp",18,"al.adhamiyaidp"
"Baghdad","al.adhamiya",23728,"Adhamiya-310","idp",11,"al.adhamiyaidp"
"Baghdad","al.adhamiya",7730,"Adhamia-312","idp",53,"al.adhamiyaidp"
"Baghdad","al.adhamiya",23999,"Al Qahira-307","idp",26,"al.adhamiyaidp"
"Baghdad","al.adhamiya",24003,"Al Shamasiyah-320","idp",30,"al.adhamiyaidp"
"Baghdad","al.adhamiya",7717,"Adhamia-308","idp",13,"al.adhamiyaidp"
"Baghdad","al.adhamiya",23646,"Adhamia-314","idp",45,"al.adhamiyaidp"
"Baghdad","al.adhamiya",24002,"Al Shamasiyah-316","idp",24,"al.adhamiyaidp"
"Baghdad","al.adhamiya",24004,"Al Maghreb-302","idp",11,"al.adhamiyaidp"
"Baghdad","al.kadhmiyah",23867,"Al-Nasir Walsalam-1000","idp",17,"al.kadhmiyahidp"
"Baghdad","al.kadhmiyah",31711,"Al Zaidan-Al sultan village","idp",9,"al.kadhmiyahidp"
"Baghdad","al.kadhmiyah",25126,"Khan Dhari Center","idp",25,"al.kadhmiyahidp"
"Baghdad","al.kadhmiyah",21173,"1 Athar","idp",62,"al.kadhmiyahidp"
"Baghdad","al.kadhmiyah",31714,"Shuhada Markza-Shuhdda the second","idp",62,"al.kadhmiyahidp"
"Baghdad","al.kadhmiyah",7658,"Al-Resalah","idp",44,"al.kadhmiyahidp"
"Baghdad","al.kadhmiyah",27247,"Al Shams complex","idp",138,"al.kadhmiyahidp"
"Baghdad","al.kadhmiyah",25185,"Awad Al Hussain village","idp",7,"al.kadhmiyahidp"
"Baghdad","al.kadhmiyah",27413,"Al Ahnaf-Al Rakia Fadel village","idp",38,"al.kadhmiyahidp"
"Baghdad","al.kadhmiyah",25164,"Sabea Al Buor-8000","idp",9,"al.kadhmiyahidp"
"Baghdad","al.kadhmiyah",24063,"Al-Abayechi-1","idp",19,"al.kadhmiyahidp"
"Baghdad","al.kadhmiyah",21685,"Al Khadraa village","idp",21,"al.kadhmiyahidp"
"Baghdad","al.kadhmiyah",25424,"Hai Al Qadessia-2","idp",42,"al.kadhmiyahidp"
"Baghdad","al.kadhmiyah",25022,"Al Gserin Village","idp",24,"al.kadhmiyahidp"
"Baghdad","al.kadhmiyah",27312,"Shoala-448","idp",6,"al.kadhmiyahidp"
"Baghdad","al.karkh",24073,"Shurtah Al Hader-846","idp",30,"al.karkhidp"
